,Post_Content,Date,Comments_Shares,All_Responses,Brand
780,"Get your bake on! This super simple recipe for Black Forest Baked Alaska is a real show stopper.
Click here for the recipe: http://bit.ly/2vcOzO2","August 29, 2017",545 Comments791 Shares860K Views,2.9K,asda
781,"Get your bake on! This super simple recipe for Black Forest Baked Alaska is a real show stopper.
Click here for the recipe: http://bit.ly/2vcOzO2","August 29, 2017",545 Comments791 Shares860K Views,2.9K,asda
782,"Niel was devastated when the sheltered workshop he'd worked at for 22 years closed and he couldn't find another job. But he's now going from strength to strength after our Luton store took him on as a porter.
His mum Barbara contacted us on Facebook to say what a difference it had made to Niel, who has mild cerebral palsy and learning difficulties. She said: ""Asda really do look after those who have special needs and bring the best out of them ... the Luton team are like one big family."" Read more here: http://bit.ly/2waTj44","August 27, 2017",481 Comments404 Shares,11K,asda
783,"Niel was devastated when the sheltered workshop he'd worked at for 22 years closed and he couldn't find another job. But he's now going from strength to strength after our Luton store took him on as a porter.
His mum Barbara contacted us on Facebook to say what a difference it had made to Niel, who has mild cerebral palsy and learning difficulties. She said: ""Asda really do look after those who have special needs and bring the best out of them ... the Luton team are like one big family."" Read more here: http://bit.ly/2waTj44","August 27, 2017",481 Comments404 Shares,11K,asda
784,"From magic cats and cats in space to flying pugs with crowns ... our quirky bedding always gets lots of people talking on social media!
The George Home team would love to hear your own weird and wonderful ideas for next year's range. Leave a comment below and we'll pass them onto the team. Thanks 😊","August 26, 2017",1.3K Comments156 Shares,2.3K,asda
785,"From magic cats and cats in space to flying pugs with crowns ... our quirky bedding always gets lots of people talking on social media!
The George Home team would love to hear your own weird and wonderful ideas for next year's range. Leave a comment below and we'll pass them onto the team. Thanks 😊","August 26, 2017",1.3K Comments156 Shares,2.3K,asda
786,"If you love Prosecco you've got to give our new sparkling red Lambrusco a try.
It’s very different from the Lambrusco that was popular in the 80s. It's fully sparkling, dry and refreshing – and our wine buyer Ed Betts was blown away when he first tried it. Read his Thirsty Thursday wine blog here: http://bit.ly/2w884Ey","August 24, 2017",1.2K Comments591 Shares,5K,asda
787,"If you love Prosecco you've got to give our new sparkling red Lambrusco a try.
It’s very different from the Lambrusco that was popular in the 80s. It's fully sparkling, dry and refreshing – and our wine buyer Ed Betts was blown away when he first tried it. Read his Thirsty Thursday wine blog here: http://bit.ly/2w884Ey","August 24, 2017",1.2K Comments591 Shares,5K,asda
788,"Here's a bit of tasty inspiration for #NationalBurgerDay tomorrow … we sent Foodie ""K's Ate Here"" our Wagyu beef burgers and he posted this amazing pic on Instagram. 🍔
He said: ""These burgers are pretty damn good; nice amount of fat, tender and beefy like Wagyu should be but at a price point that's accessible to most. I'd come back for seconds for sure."" See which stores they're available in here: http://bit.ly/2v60Lji","August 23, 2017",513 Comments230 Shares,1.9K,asda
789,"Here's a bit of tasty inspiration for #NationalBurgerDay tomorrow … we sent Foodie ""K's Ate Here"" our Wagyu beef burgers and he posted this amazing pic on Instagram. 🍔
He said: ""These burgers are pretty damn good; nice amount of fat, tender and beefy like Wagyu should be but at a price point that's accessible to most. I'd come back for seconds for sure."" See which stores they're available in here: http://bit.ly/2v60Lji","August 23, 2017",513 Comments230 Shares,1.9K,asda
790,"It’s Notting Hill Carnival this bank holiday, and we’re bringing you a taste of the Caribbean! Grab some Steel Pans and check out how to decorate your home and cook up the ultimate Caribbean banquet!","August 23, 2017",12 Comments5 Shares,41,asda
791,"It’s Notting Hill Carnival this bank holiday, and we’re bringing you a taste of the Caribbean! Grab some Steel Pans and check out how to decorate your home and cook up the ultimate Caribbean banquet!","August 23, 2017",12 Comments5 Shares,41,asda
792,"Take a trip through Italy and indulge in our new Extra Special range of authentic Italian dishes. From moreish pasta and hand stretched, wood-fired pizzas that pair perfectly with our award-winning Italian wine range. Gather friends for an Extra Special taste of Italy #justaddAsda
Shop now: http://bit.ly/2uOLdjR Selected stores. Subject to availability.","August 23, 2017",52 Comments11 Shares474K Views,453,asda
793,"Take a trip through Italy and indulge in our new Extra Special range of authentic Italian dishes. From moreish pasta and hand stretched, wood-fired pizzas that pair perfectly with our award-winning Italian wine range. Gather friends for an Extra Special taste of Italy #justaddAsda
Shop now: http://bit.ly/2uOLdjR Selected stores. Subject to availability.","August 23, 2017",52 Comments11 Shares474K Views,453,asda
794,"We're giving away these handy 'food huggers' in stores this week as part of our Love Food Hate Waste campaign.
They're a really useful way of keeping food fresh for longer. Pick one up from one of our wonderful Community Champions who are encouraging customers to share tips and ideas to reduce food waste.","August 21, 2017","2K Comments1,999 Shares",9.2K,asda
795,"We're giving away these handy 'food huggers' in stores this week as part of our Love Food Hate Waste campaign.
They're a really useful way of keeping food fresh for longer. Pick one up from one of our wonderful Community Champions who are encouraging customers to share tips and ideas to reduce food waste.","August 21, 2017","2K Comments1,999 Shares",9.2K,asda
