Date,Likes
07/06/18,471756
08/06/18,471820
09/06/18,471806
10/06/18,471789
11/06/18,471781
12/06/18,471801
13/06/18,471905
14/06/18,472009
15/06/18,472056
16/06/18,472080
17/06/18,472193
18/06/18,472103
19/06/18,472306
20/06/18,472340
21/06/18,472500
22/06/18,472614
23/06/18,472644
24/06/18,472668
25/06/18,472888
26/06/18,472904
27/06/18,473187
28/06/18,473466
29/06/18,473473
30/06/18,473493
01/07/18,473492
02/07/18,474052
03/07/18,474099
04/07/18,474329
05/07/18,474521
06/07/18,474558
07/07/18,474571
08/07/18,474569
09/07/18,474802
10/07/18,474781
11/07/18,474907
12/07/18,474895
13/07/18,474895
14/07/18,474908
15/07/18,474914
16/07/18,474916
17/07/18,474910
18/07/18,474923
19/07/18,474917
20/07/18,474929
21/07/18,474942
22/07/18,474987
23/07/18,475189
24/07/18,475186
25/07/18,475163
26/07/18,475191
27/07/18,475245
28/07/18,475246
29/07/18,475239
30/07/18,475281
31/07/18,475339
01/08/18,475366
02/08/18,475389
03/08/18,475427
04/08/18,475487
05/08/18,475477
06/08/18,475681
07/08/18,475667
08/08/18,475838
09/08/18,475839
10/08/18,475870
11/08/18,475862
12/08/18,475859
13/08/18,475923
14/08/18,475973
15/08/18,476446
16/08/18,476471
17/08/18,476593
18/08/18,476622
19/08/18,476623
20/08/18,476689
21/08/18,476703
22/08/18,476700
23/08/18,476741
24/08/18,476779
25/08/18,476779
26/08/18,476788
27/08/18,476949
28/08/18,476951
29/08/18,476975
30/08/18,476999
31/08/18,477039
01/09/18,477054
02/09/18,477064
03/09/18,476983
04/09/18,477595
05/09/18,478294
06/09/18,478507
07/09/18,478873
08/09/18,479196
09/09/18,479261
10/09/18,479297
11/09/18,479317
12/09/18,479341
13/09/18,479496
14/09/18,479575
15/09/18,480262
16/09/18,480869
17/09/18,480911
18/09/18,480938
19/09/18,481002
20/09/18,481045
21/09/18,481095
22/09/18,481209
23/09/18,481249
24/09/18,481338
25/09/18,481425
26/09/18,481492
27/09/18,481537
28/09/18,481552
29/09/18,481610
30/09/18,481695
01/10/18,481695
02/10/18,481732
03/10/18,481766
04/10/18,481781
05/10/18,481806
06/10/18,481821
07/10/18,481891
08/10/18,481898
09/10/18,481894
10/10/18,481929
11/10/18,481995
12/10/18,482007
13/10/18,482052
14/10/18,482055
15/10/18,482129
16/10/18,482118
17/10/18,482126
18/10/18,482132
19/10/18,482141
20/10/18,482169
21/10/18,482213
22/10/18,482258
23/10/18,482300
24/10/18,482335
25/10/18,482380
26/10/18,482426
27/10/18,482464
28/10/18,482473
29/10/18,482527
30/10/18,482547
31/10/18,482568
01/11/18,482582
02/11/18,482725
03/11/18,483030
04/11/18,483212
05/11/18,483256
06/11/18,483317
07/11/18,483390
08/11/18,483487
09/11/18,483511
10/11/18,483556
11/11/18,483584
12/11/18,483600
13/11/18,483619
14/11/18,483627
15/11/18,483670
16/11/18,483780
17/11/18,483982
18/11/18,484099
19/11/18,484170
20/11/18,484224
21/11/18,484232
22/11/18,484278
23/11/18,484296
24/11/18,484344
25/11/18,484410
26/11/18,484442
27/11/18,484499
28/11/18,484545
29/11/18,484579
30/11/18,484632
01/12/18,484696
02/12/18,484763
03/12/18,484826
04/12/18,484831
05/12/18,484849
06/12/18,484885
07/12/18,484985
08/12/18,485017
09/12/18,485062
10/12/18,485072
11/12/18,485092
12/12/18,485116
13/12/18,485186
14/12/18,485242
15/12/18,485343
16/12/18,485393
17/12/18,485413
18/12/18,485441
19/12/18,485432
20/12/18,485477
21/12/18,485553
22/12/18,485612
23/12/18,485645
24/12/18,485691
25/12/18,485684
26/12/18,485677
27/12/18,485676
28/12/18,485726
29/12/18,485733
30/12/18,485789
31/12/18,485808
01/01/19,485799
