Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-03-28 00:00:00,2018,Sainsburys,Easter lunch = sorted thanks to Sainsbury’s magazine’s glorious one-tray spring roast lamb with leeks and Caerphilly. Get the recipe: http://bit.ly/2HWbUFy,251,55,33,0
2018-03-25 00:00:00,2018,Sainsburys,Everyone has their own roast rules 😉 It's all about strategy,278,101,12,78000
2018-03-23 00:00:00,2018,Sainsburys,There are two types of people in the world...,1900,2600,372,1300000
2018-03-22 00:00:00,2018,Sainsburys,These little piggies are loving life rolling around in salted caramel! Get Sainsbury’s magazine’s fun chocolate cake recipe: http://bit.ly/2tLLOTC,944,430,211,135000
2018-03-20 00:00:00,2018,Sainsburys,"Hello there, hot cross bun BUTTER! Try this twist on an Easter classic – delicious slathered on toast. Get the Sainsbury’s magazine recipe: http://bit.ly/2tQWhgj",196,123,48,37000
2018-03-18 00:00:00,2018,Sainsburys,Cheep cheep! How cute are Sainsbury’s magazine’s meringue chicks? Get the Easter recipe here: http://bit.ly/2Hm1Vcl,293,69,51,31000
2018-03-15 00:00:00,2018,Sainsburys,If you like pina coladas... you’re going to love this fun chocolate bark! It makes a great edible gift for Easter. Get the Sainsbury’s magazine recipe: http://bit.ly/2FEATja,133,69,24,44000
2018-03-11 00:00:00,2018,Sainsburys,That's the leftover lamb taken care of 😋,912,683,340,466000
2018-03-09 00:00:00,2018,Sainsburys,Happy Mother's Day to all the legends out there 💖,20000,1300,2034,2000000
2018-03-07 00:00:00,2018,Sainsburys,"Get ready for Easter with Sainsbury’s magazine’s March issue, packed with 40+ new recipes including fun farmyard bakes, hot cross bun butter and one-pan spring roasts. OUT NOW! http://bit.ly/2H8E0x2",70,39,5,8000
2018-03-01 00:00:00,2018,Sainsburys,"Due the weather where we are, the Social Team have had to go home early to make sure we get home safe. We’ll be back on Facebook and our other social sites ASAP, and will reply to any comments or questions then. For general help or queries, or information on online deliveries, why not try our Help Centre at help.sainsburys.co.uk. Thanks",161,236,17,0
2018-02-28 00:00:00,2018,Sainsburys,"Turn a pack of lamb meatballs into Sainsbury’s magazine’s tasty Moroccan one-pan with red pepper sauce, on the table in 30 minutes! Get the recipe: http://bit.ly/2HOZ0tU",195,45,33,0
2018-02-25 00:00:00,2018,Sainsburys,Flapjacks get an upgrade with sticky toffee sauce! Get Sainsbury’s magazine’s super-sweet recipe here: http://bit.ly/2Ev5Fvb,447,185,165,53000
2018-02-22 00:00:00,2018,Sainsburys,Pleasantly surprised TBH... 😋🥓,242,311,48,186000
2018-02-21 00:00:00,2018,Sainsburys,Why did the chicken cross the road? Because someone ran out... 😉,688,95,104,0
2018-02-20 00:00:00,2018,Sainsburys,Say hello to your new favourite packed lunch – so easy and so tasty! Get Sainsbury’s magazine’s prawn noodle jar recipe: http://bit.ly/2CpnhCJ,186,72,24,40000
2018-02-15 00:00:00,2018,Sainsburys,"Keep going ‘til lunch with Sainsbury’s magazine’s blueberry burst breakfast bars, packed full of the good stuff. Get the recipe: http://bit.ly/2Ehs6E0",102,36,17,8000
2018-02-14 00:00:00,2018,Sainsburys,You can cook steak with COCOA powder? Who knew 😋Get your steak recipes right here: http://bit.ly/2EplrHX,189,98,41,157000
2018-02-13 00:00:00,2018,Sainsburys,Love is in the air! Woo your loved one this Valentine’s Day with Sainsbury’s magazine’s gorgeous cardamom-flavoured rhubarb frangipane tart. Get the recipe: http://bit.ly/2CjeSAz,234,39,31,15000
2018-02-12 00:00:00,2018,Sainsburys,Can you screengrab the pancake when it lands in the circle?,256,280,57,381000
2018-02-09 00:00:00,2018,Sainsburys,Here’s to puppy love this Valentine’s Day 🐶,14000,1900,3832,1600000
2018-02-08 00:00:00,2018,Sainsburys,Looking for something to cheer up your bedroom? Here's how to give it a New Year's makeover: http://bit.ly/2C2FJAT,87,20,3,0
